material_strength,safety_factor,load,temperature_tolerance,safety_score
412,1.8066778268906478,2886,232,73
362,1.240929131312528,3952,189,63
280,1.3653219705359958,4524,440,67
458,1.9029802461708991,2623,268,57
459,1.5775383571919943,3753,268,66
271,1.3548343173333461,2427,272,77
334,1.331135305973909,2561,437,75
268,1.131423660586096,3652,333,56
182,1.8285580029921336,2360,210,67
194,1.7140550561593348,4043,372,84
339,1.4658378483455246,3375,116,59
430,1.9829944641780552,1968,387,81
216,1.9549034650823065,4853,199,84
135,1.495795564474185,3978,365,99
103,1.863517368923699,3599,215,69
257,1.4661288637010066,2762,252,95
182,1.1609933383879358,2571,438,67
438,1.8676252533093503,4571,155,51
492,1.306934933216719,4083,210,61
199,1.2764525002424374,3179,251,85
221,1.8046782751580843,2650,286,68
424,1.1712873526128966,2118,335,57
311,1.4180836306743676,2601,100,94
455,1.9436204863682556,2076,260,93
201,1.207580497850173,2774,457,97
460,1.122150600469926,3025,426,60
239,1.1127501581674226,3896,250,91
475,1.3338984323587,1978,143,57
267,1.6464617982086318,1172,453,82
471,1.3408981646836642,2722,182,63
240,1.172327944554972,2838,422,52
406,1.340888672573374,4865,154,94
325,1.3314460261684058,3420,229,80
495,1.7312875836115083,1697,220,80
263,1.4345716973683889,3289,304,72
410,1.1121079894863262,2986,205,71
292,1.368388782612044,4079,195,83
457,1.6877547139555524,4709,241,66
158,1.151951598290991,3841,398,78
416,1.5656353838558863,1633,419,52
496,1.4564148202353469,4385,151,63
171,1.2406472515929257,1180,331,61
136,1.1222686129328052,3635,207,53
479,1.2292738030567572,2507,440,70
152,1.8903387671222722,2526,468,78
233,1.4684235717511243,2225,221,55
265,1.9062215184286566,2586,240,99
397,1.3243308729429437,2618,441,75
419,1.7962965932946147,1040,433,74
449,1.2444074262164178,2627,440,56
389,1.6652278426030407,2492,150,86
198,1.1228230181875836,4020,307,67
471,1.4459407308059107,1996,114,52
391,1.943672350191448,3047,441,68
460,1.6198889113702215,2724,297,67
374,1.4927792920484344,2186,116,64
350,1.8574973709994644,1150,386,51
487,1.5730638227515559,4944,237,64
480,1.8370734905170691,3998,160,74
343,1.2277496694035288,3867,497,94
277,1.961014317560608,2284,346,99
174,1.6806171414100508,3751,202,92
360,1.460622649090954,3547,115,75
433,1.2753829273426351,4145,469,96
224,1.581256332885253,2187,248,82
119,1.5621606701529065,3979,185,82
261,1.8548412261650902,1086,416,92
358,1.645977204569696,1383,444,66
168,1.2123363590289447,3221,373,97
210,1.1418441648394042,1533,402,63
438,1.9395419262107658,4051,405,53
214,1.3937265132953955,1148,408,72
301,1.4629514212598769,1447,484,75
291,1.3492340085513599,3702,196,97
361,1.4371991376580078,1194,243,71
387,1.124485630919422,4840,340,99
236,1.9206426236126455,3299,414,71
236,1.7692864861802207,2995,416,84
244,1.5895594007614364,1568,162,74
357,1.7185193063778952,3306,315,68
316,1.185149752852101,4913,409,79
342,1.878849340243105,4762,297,58
394,1.5211045818353335,3627,428,78
101,1.1005490462275518,1635,166,77
201,1.5731013127544586,2577,258,90
345,1.8285361002456486,3553,219,89
159,1.9878657114062106,4176,285,62
463,1.749792985908371,3105,399,53
416,1.9026448295152134,4920,441,76
217,1.6537569243555523,4608,359,69
357,1.9896190885735199,3496,313,77
275,1.5372359287353436,1725,258,90
134,1.837001465343088,4800,336,73
488,1.4513263055008645,2642,490,95
357,1.8731633536000387,1819,282,83
232,1.261327965899016,2473,161,67
265,1.2837850559622719,1795,118,62
124,1.9259167688370313,3579,294,70
283,1.2124953520798902,2759,202,86
438,1.1969827688059085,3166,158,87
