material_strength,load,temperature_tolerance,pressure,vibration,performance_score
464,1634,355,147,0.9778669550205075,72
283,4321,127,153,0.4211887972599857,94
147,4669,296,92,0.26848873594471545,70
436,3936,297,101,0.9499657361731245,66
380,3787,489,103,0.9445680279640942,63
203,1695,151,173,0.482712604683162,75
166,3708,143,156,0.11671629381898785,61
339,3770,488,190,0.23231673449036555,50
379,2929,184,134,0.13945818524362666,95
267,2148,404,193,0.3102582115330085,69
141,2791,113,59,0.503231695499407,54
468,1834,397,195,0.956006836095545,56
163,2543,150,69,0.5126663497556636,87
490,4288,429,76,0.10035271576844712,56
498,3355,221,127,0.9066541755487674,54
150,1522,151,183,0.8968920046811429,69
153,1192,347,93,0.4535046255280262,96
443,4545,458,167,0.7939805787318122,55
464,2960,473,191,0.8725477283552213,97
227,4091,367,76,0.7064238403856922,65
208,4642,452,148,0.6207549966912762,66
350,3222,239,149,0.8566378517345472,66
446,2421,260,114,0.4105755667080708,81
170,3144,294,138,0.3628812814514383,95
294,1480,138,95,0.3262291265156717,79
237,1471,136,93,0.23825045776428241,77
246,3998,409,192,0.801073533591953,89
390,1630,403,56,0.38088777913219807,94
495,4749,486,54,0.8711562850634456,67
157,4485,318,55,0.845794372978423,63
265,4075,261,177,0.9196636544463331,82
301,1176,240,109,0.26537623510997627,61
457,2110,364,126,0.4749241714657856,70
446,2776,155,119,0.1375847314276221,82
400,3254,455,149,0.6335713354251449,68
382,2962,363,168,0.7001301808827491,89
126,1826,366,164,0.5045550997078084,91
421,2623,239,119,0.2948900796299722,65
270,2622,208,143,0.6870002269220569,59
298,3044,146,180,0.1227293944173654,50
145,4064,222,50,0.8424762562967785,90
138,2649,470,98,0.27961170641317307,70
404,4329,231,140,0.3411960596774818,71
453,3674,117,71,0.2985741467225872,72
477,2056,241,74,0.9277616706831293,68
483,4483,303,177,0.7679790559951173,99
297,1363,172,186,0.5464099690633929,77
416,3025,433,145,0.5961628500158689,79
203,1231,212,190,0.46917737110503177,55
454,3982,167,148,0.2573524621324572,73
463,4554,184,186,0.3096673050564222,74
214,1917,406,53,0.6406541793124665,68
131,2503,423,173,0.3379691444854547,51
161,1729,299,61,0.27986343062071783,71
255,2120,260,140,0.17380167271270672,77
217,1044,231,186,0.46468913879476437,53
428,2850,137,69,0.5819296682348387,88
130,1176,481,147,0.5560974756612073,79
163,4208,119,123,0.9318639135492167,92
206,4518,152,186,0.4021401821658256,65
187,4072,149,125,0.10299438380293996,95
463,2589,280,87,0.69609051172702,86
336,3015,434,140,0.5293875058334369,93
234,4660,471,197,0.701081821757764,93
404,3212,352,117,0.8609158542371417,98
112,1548,112,93,0.6706840725974813,87
335,2104,276,188,0.7851736863226491,67
341,3689,262,50,0.7894499727639857,99
307,1918,432,140,0.7806782380416483,86
449,2422,389,118,0.3684682505237977,70
348,2884,486,51,0.9880085567797142,96
366,4299,175,190,0.3898631212475381,61
304,3679,421,130,0.10174960989867254,90
141,4276,491,132,0.904758168534156,94
428,2179,127,121,0.8866413416051026,71
206,2346,154,130,0.9369774980235884,84
149,2684,189,96,0.23289227083188682,65
262,4770,276,57,0.456001519446005,73
210,1185,192,145,0.11992515052455156,84
109,1150,416,74,0.6137052956276804,54
179,4385,358,71,0.25082527819128553,98
472,4577,153,195,0.20561054685483143,64
280,1942,424,131,0.6380450703548434,84
496,3655,450,90,0.3270023501025071,55
438,1530,244,125,0.8974245367953002,66
326,2527,135,169,0.24762791876181925,51
130,4256,421,90,0.42778643923069304,76
350,2349,178,58,0.7838905550070836,91
471,4293,120,121,0.8165375170743312,62
244,2332,267,152,0.23315691597562238,81
455,4400,385,152,0.15165409588234535,91
266,1253,176,187,0.22533221480234855,58
451,3768,429,69,0.9890785366642951,82
442,1608,378,74,0.10980117087444885,94
100,3832,223,195,0.758557973289403,72
234,3519,166,162,0.5080872505866645,97
423,4729,146,59,0.9546174886993085,83
114,1293,387,186,0.3700022671653147,79
487,2307,109,162,0.8221461298572074,98
260,2458,169,123,0.5460535825931723,68
