material_strength,load,temperature_tolerance,efficiency_rating,efficiency_score
115,1320,316,0.5819858313416861,91
212,1806,195,0.9949660760122628,79
231,2633,408,0.6994757687823261,63
155,1932,170,0.5497952166699744,77
492,4253,291,0.6934078965075153,97
115,2855,352,0.850329855926514,86
101,3901,267,0.6321378085883222,61
167,3730,381,0.7443971772936615,74
436,2446,293,0.945378699661334,78
170,3928,332,0.6213007222949005,73
339,1980,236,0.5819832163489314,96
397,1623,443,0.656457088913566,71
262,1049,351,0.8653087587251037,53
101,1057,479,0.6443225440699965,60
208,4441,201,0.520020198572022,75
292,3158,443,0.5259271887743662,80
319,1359,186,0.6876511205876503,58
226,1604,239,0.8990610329976538,65
178,3694,172,0.7217375062394666,66
289,2201,165,0.8916862681165789,90
159,4934,394,0.5219610559756285,96
281,4294,122,0.7159011159351736,94
150,1585,202,0.5333052099765552,82
165,3400,221,0.8421984110071448,70
117,3748,418,0.6416438211076188,75
265,4477,352,0.5125318066868896,95
462,4044,174,0.8319470255117379,76
296,3235,181,0.7333034058433344,51
131,2817,230,0.5645851318929103,50
318,4875,225,0.5453163388102849,58
171,3603,461,0.6901262713415479,52
120,4001,118,0.8684959206873488,65
271,1046,229,0.6213231377566364,91
199,2291,242,0.6291020200880258,50
362,3272,228,0.8307078825791514,89
379,2231,296,0.6937012002574015,93
455,1816,248,0.5729038620049662,79
361,3145,142,0.8601897884168165,95
469,3334,251,0.9552808598522531,83
354,4974,489,0.6446262073964555,89
294,4165,183,0.7846095218662724,55
216,2536,379,0.5089112964869709,51
467,4844,123,0.8818469586597057,55
417,1377,440,0.9215843756269215,84
463,4744,268,0.9601205316301795,50
263,3914,341,0.7093446068578241,85
208,3266,492,0.5143830071977284,89
207,3038,388,0.7351156248821054,95
469,4597,118,0.7959578989946786,89
438,4866,444,0.6081778201600857,98
495,4093,184,0.8568052535888064,99
350,4754,493,0.5956538255459938,99
240,1694,463,0.5664019520724659,88
181,3550,228,0.6993353861720342,96
314,3470,423,0.8416315332157349,84
398,2251,220,0.8088207898643102,73
293,2106,147,0.6056982030546416,84
320,3649,112,0.5835036980790824,93
320,4698,482,0.617377433025268,87
187,3508,293,0.8883793937513935,74
121,1684,210,0.6734802281645195,62
222,4172,478,0.9543677032211136,77
344,4176,429,0.6406327996490292,55
390,2588,367,0.705353549830159,97
181,2597,162,0.5022152164620205,60
449,2856,115,0.7255288607024154,73
388,3442,355,0.9392725234411868,99
226,1108,305,0.9196750488008067,78
113,4013,182,0.6099915804490692,77
260,4109,224,0.888014963423456,59
130,3488,297,0.5969302230154343,91
102,3503,238,0.8233845771144437,74
189,4125,324,0.5406443923637496,92
141,3077,348,0.7905228834428852,55
347,3920,336,0.6248442684734894,82
129,3285,448,0.8765788379844803,97
181,3078,412,0.6318907202475211,55
163,3982,263,0.9766997090783828,84
266,4451,411,0.7846483021800381,78
311,4865,179,0.9644187256281607,80
297,1061,361,0.8198239308227313,92
342,4784,411,0.9658588989977019,70
246,1231,165,0.8488475871608949,93
291,3820,100,0.597095476773035,84
438,2594,405,0.8078152825460123,97
433,4382,409,0.5414693570707168,75
276,1316,317,0.8339400736868816,86
167,3125,337,0.7392382561458872,86
348,1325,286,0.6435380827023697,72
247,1931,128,0.8811850329378808,83
362,2415,330,0.7487310501510369,66
274,1937,363,0.9023261016886542,77
457,2913,121,0.6263142751206416,73
218,1063,373,0.9335706368557811,62
183,4126,192,0.9096940081590241,89
223,4086,198,0.7258683683490541,88
335,1140,251,0.9983762770217681,57
324,3455,268,0.9630127523005517,97
109,2180,264,0.9003105563782932,59
343,1331,200,0.74168751936924,59
